obj_Value    Budget
  162.9867   1000
  196.8248   1000
  231.8400   1000
  110.5280   1000
  154.4757   1000
  176.5303   1000
  159.1330   1000
  112.7855   1000
  200.3562   1000
  116.0747   1000
  101.4306   1000
  139.4904   1000
  624.1281   1000
  102.5981   1000
  588.5026   1000
  180.6934   1000
  219.4210   1000
  179.5163   1000
  155.4279   1000
  105.1278   1000
  573.2398   1000
  316.9749   1000
  168.0162   1000
  101.6808   1000
  204.0473   1000
  577.3568   1000
  106.6258   1000
  127.6305   1000
  101.7742   1000
  102.0650   1000
  111.8373   1000
  583.7787   1000
  116.5904   1000
  576.9568   1000
  108.0802   1000
  106.3747   1000
  248.2423   1000
  294.8447   1000
  132.1305   1000
  504.9680   1000
  156.1710   1000
  116.5332   1000
  116.9398   1000
  199.7727   1000
  108.3095   1000
  578.4808   1000
  469.0579   1000
  214.0496   1000
  170.1216   1000
  102.6633   1000
  120.8623   1000
  144.4006   1000
  559.5827   1000
  199.3256   1000
  204.5952   1000
  158.2706   1000
  113.8069   1000
  105.2024   1000
  104.1948   1000
  105.6073   1000
   99.7242   1000
  158.4885   1000
  157.9565   1000
  125.9092   1000
  225.6597   1000
  114.9497   1000
  383.2959   1000
  445.6857   1000
  570.1735   1000
  105.3380   1000
  643.1519   1000
  219.4812   1000
  112.1175   1000
  602.4390   1000
  244.7269   1000
  241.6682   1000
  171.5510   1000
  135.0560   1000
  220.2878   1000
  254.2903   1000
  161.7482   1000
  179.4863   1000
  558.5194   1000
  149.7387   1000
   98.8446   1000
  103.2656   1000
  102.7163   1000
  105.6643   1000
  148.6755   1000
  260.4110   1000
  156.5865   1000
  123.7977   1000
  648.8051   1000
  235.2232   1000
  110.4290   1000
  159.9390   1000
  103.4761   1000
  108.7947   1000
  108.5074   1000
  109.1563   1000
