obj_Value    Budget
 1005.4828   1000
  724.9192   1000
  841.5931   1000
  881.1467   1000
  947.5639   1000
 1543.9982   1000
 1427.9083   1000
 1197.3971   1000
  874.9235   1000
  955.3592   1000
 1075.2349   1000
  831.5154   1000
 1044.6992   1000
 1532.4543   1000
 1385.4462   1000
 1085.0961   1000
 1239.3325   1000
  688.9216   1000
  937.9046   1000
 1540.3223   1000
 2413.6614   1000
 1500.5863   1000
  890.7990   1000
 1165.0295   1000
 1586.3057   1000
 1300.0466   1000
 2027.1026   1000
 1024.9049   1000
 1475.7062   1000
 2346.0225   1000
  867.5346   1000
 1146.8626   1000
  726.9689   1000
 1315.5014   1000
 1024.1157   1000
 1766.5445   1000
 1725.5150   1000
  854.0406   1000
  995.0872   1000
 1184.8550   1000
 1548.0182   1000
 1123.1948   1000
 1814.3465   1000
  893.8727   1000
 1576.0146   1000
  832.3847   1000
 1424.7938   1000
 1427.8793   1000
 2962.1223   1000
 1571.1679   1000
 1194.1339   1000
 1136.3615   1000
  671.6874   1000
 1305.7596   1000
  953.3093   1000
  995.5249   1000
 1520.0600   1000
  937.0664   1000
 1251.7330   1000
 1398.3591   1000
 1298.1058   1000
 1260.1607   1000
 1309.8828   1000
 1262.8244   1000
  923.2015   1000
  859.2294   1000
 1256.2662   1000
  932.8063   1000
  891.1918   1000
 1279.3448   1000
 1918.7672   1000
 1290.7980   1000
  662.4283   1000
  851.3175   1000
 1075.4521   1000
  525.7527   1000
 1596.1189   1000
 1234.1218   1000
 1239.6686   1000
 2247.8894   1000
 1127.3610   1000
 1317.2299   1000
  751.2083   1000
  969.3559   1000
  935.4692   1000
 1542.0297   1000
  915.6036   1000
 1393.0444   1000
 1398.3923   1000
  818.5856   1000
 1755.1704   1000
 1177.4970   1000
 1273.5948   1000
 1132.6528   1000
 1476.0072   1000
  990.1439   1000
 1634.7216   1000
 1289.0623   1000
  765.7021   1000
 1600.7429   1000
