obj_Value     Budget
  567.3422    200
  646.0784    200
 1499.4343    200
  302.6413    200
  301.8415    200
  719.9375    200
  183.7547    200
  165.6691    200
  349.8564    200
  183.0557    200
  195.7174    200
  804.8510    200
 1466.7902    200
  656.6706    200
 6314.8501    200
  483.4546    200
  611.0749    200
  614.5188    200
  224.7749    200
  469.9370    200
 5910.1097    200
  872.6034    200
  707.9199    200
  300.0476    200
  230.5293    200
  918.6884    200
  599.3648    200
 1361.0501    200
 1214.5629    200
18088.2518    200
  270.6905    200
  857.4922    200
  245.7856    200
 2504.7207    200
 3930.3753    200
 1286.1646    200
  290.7587    200
 3092.3223    200
  770.1842    200
 1000.9437    200
 2675.6334    200
  838.3667    200
  820.3637    200
  331.4467    200
  196.5229    200
 4956.9464    200
 4784.9588    200
 1603.8129    200
  206.0932    200
  162.3534    200
  143.5873    200
  540.5312    200
 1026.6270    200
  786.2092    200
  253.1753    200
  256.1664    200
  428.2527    200
  607.4150    200
  530.4782    200
  677.4850    200
 2381.8515    200
 1282.1187    200
  192.5234    200
  288.6675    200
 2691.1101    200
  225.4428    200
11348.7180    200
 4557.3759    200
 1111.2735    200
  411.5017    200
 8573.8045    200
  236.9352    200
  565.6045    200
13022.4151    200
 1392.0360    200
  340.2313    200
  726.1265    200
  155.2056    200
  366.6535    200
  288.8881    200
  901.4445    200
 2317.6082    200
 2706.1818    200
  285.8302    200
 1429.7678    200
  417.9446    200
  280.8349    200
  370.3897    200
  256.8329    200
 2012.9982    200
 1002.3713    200
  156.8920    200
13743.0465    200
  276.8532    200
  687.2135    200
 1078.9070    200
  214.3669    200
  565.2353    200
 1242.5352    200
  233.0543    200
