obj_Value     Budget
 1659.2578    500
47459.8182    500
16097.1883    500
  365.9573    500
16392.0909    500
27458.6364    500
20257.7013    500
30117.0000    500
28319.8896    500
21971.9935    500
33139.0909    500
28262.8247    500
70496.1558    500
28846.3766    500
  267.8429    500
 8440.4545    500
29887.9805    500
19810.4156    500
38792.0714    500
12599.9351    500
 2600.7305    500
  453.8601    500
  452.9050    500
26589.1558    500
34242.8442    500
36688.9416    500
36752.7987    500
 3273.7110    500
46521.8052    500
67124.5000    500
 4725.2032    500
  154.3352    500
20571.1558    500
63386.0714    500
61430.7922    500
26329.6494    500
 2599.8688    500
 1035.3623    500
  548.6175    500
25843.5974    500
32793.1753    500
 1487.0435    500
58996.2792    500
58844.8312    500
29140.7532    500
47540.5000    500
53324.1753    500
  372.8296    500
38807.1494    500
34501.6104    500
39098.2208    500
21938.8766    500
49132.1039    500
 5839.6494    500
 2777.0818    500
 8318.4740    500
55848.6169    500
54140.3571    500
53600.8766    500
36561.2727    500
30766.0000    500
  288.3832    500
66408.8571    500
25099.8377    500
 9101.5065    500
88026.3961    500
20410.2792    500
51140.6299    500
47089.3896    500
47326.7597    500
  827.5019    500
98403.8506    500
68422.6429    500
42179.4026    500
40622.5000    500
31800.7208    500
39783.2987    500
36208.5000    500
16843.2273    500
24528.3117    500
42738.4416    500
32792.0260    500
59426.2597    500
56708.6169    500
43834.9416    500
24293.5584    500
36958.5390    500
33815.5000    500
  301.6220    500
 8987.3377    500
16375.2078    500
83855.3701    500
28322.3052    500
24047.1234    500
12389.3117    500
10149.2896    500
21225.2338    500
68762.6104    500
14835.8636    500
95779.2597    500
