obj_Value     Budget
 7341.9100    500
 7785.3416    500
 4600.7860    500
 4183.2590    500
 8407.0818    500
 9320.1700    500
 8692.8365    500
 7329.7106    500
 7963.2660    500
 7618.7715    500
 7514.9748    500
 6144.5757    500
 7215.0520    500
 9111.5932    500
 7531.7718    500
 6786.1948    500
 7300.1590    500
 6344.6847    500
 8367.8328    500
 8131.0181    500
 9678.4276    500
 6041.6498    500
 8778.6455    500
 5741.1540    500
 7468.5995    500
 7039.0830    500
 7993.1909    500
 7591.5464    500
 8644.6130    500
 7149.6372    500
 5254.8199    500
 5761.2941    500
 6334.2118    500
 6264.7153    500
 6297.6572    500
 7865.5105    500
 5767.2101    500
 7348.3060    500
 8435.6209    500
 6341.5727    500
 6356.6273    500
 9418.6469    500
 7945.3917    500
 8379.4358    500
10791.2973    500
 7262.8492    500
 6410.2261    500
 7650.0574    500
10417.0156    500
 7256.2808    500
 6434.6604    500
 7722.3185    500
 7284.7325    500
 7779.7583    500
 5471.8271    500
 6361.3031    500
 7787.8538    500
 7805.1961    500
 6809.1862    500
 6499.1903    500
 7195.7769    500
 5549.9645    500
 7376.4297    500
 7703.6163    500
 7756.5376    500
 8576.0854    500
 6640.0967    500
 7147.6647    500
 8020.6176    500
 6643.1054    500
 7567.3270    500
 8446.5802    500
 8852.8086    500
 8209.4553    500
 5732.8356    500
 5723.7752    500
 9375.2318    500
 9313.5374    500
 7071.8565    500
 6504.4539    500
10783.1857    500
 8601.5948    500
 8850.6377    500
 8315.1837    500
 6378.0159    500
 7983.9892    500
 6819.7192    500
 7176.6065    500
 8382.2111    500
 8089.2076    500
 9365.6529    500
 9886.3374    500
 7125.0710    500
 6318.9073    500
 6935.1307    500
 5337.0034    500
 7763.4395    500
 7798.1257    500
 7829.2591    500
 5576.7266    500
