obj_Value    Budget
  115.2200   5000
  105.9700   5000
  146.0650   5000
  133.8750   5000
  136.7200   5000
  141.2800   5000
  141.2150   5000
  142.3250   5000
 1633.8821   5000
  112.6750   5000
  134.2750   5000
  141.7600   5000
  141.3150   5000
  125.2400   5000
  172.1300   5000
  149.9750   5000
  126.2346   5000
  136.8950   5000
  145.4559   5000
 1251.8962   5000
  104.5400   5000
  142.5350   5000
  124.3750   5000
  128.3850   5000
  131.4800   5000
  136.7800   5000
  123.3950   5000
  104.7900   5000
   96.5600   5000
  133.7050   5000
  136.5300   5000
  138.6750   5000
  216.4250   5000
  142.0912   5000
  169.9300   5000
 1086.3436   5000
  141.0700   5000
  127.4250   5000
  121.8700   5000
  141.0200   5000
  113.7050   5000
  105.7550   5000
  148.2050   5000
  130.8850   5000
  139.4900   5000
  133.0150   5000
  116.2569   5000
  173.5900   5000
  115.5900   5000
  122.4131   5000
  113.7150   5000
  136.9500   5000
  130.1350   5000
  143.2800   5000
  144.2850   5000
  116.5150   5000
  120.2209   5000
  154.9950   5000
  112.9200   5000
  127.1200   5000
  137.6600   5000
  139.6600   5000
  142.2201   5000
  142.1250   5000
  103.3700   5000
  157.3850   5000
  135.3003   5000
  122.8000   5000
  142.1800   5000
  115.4700   5000
  133.9950   5000
  131.9000   5000
  140.2849   5000
 1048.8942   5000
  131.6450   5000
  103.1200   5000
  102.5250   5000
  239.5368   5000
  114.2600   5000
  132.8150   5000
  131.8200   5000
  141.8500   5000
  134.4650   5000
  140.9850   5000
  121.2750   5000
  141.4154   5000
 3440.2795   5000
  161.8350   5000
  134.9700   5000
  134.8650   5000
  120.2600   5000
  139.2750   5000
  141.4000   5000
  101.0500   5000
  141.0650   5000
  143.4024   5000
  148.7350   5000
  103.8207   5000
  140.0292   5000
  142.8532   5000
