obj_Value    Budget
   67.0135   1000
16635.2308   1000
  112.4562   1000
14776.0962   1000
  648.7500   1000
  671.7423   1000
12143.0769   1000
  517.3513   1000
  348.4598   1000
 2217.3327   1000
 3151.5000   1000
  865.7712   1000
 7011.7115   1000
 8226.3269   1000
   43.9220   1000
12481.5897   1000
 6043.5443   1000
 1551.3038   1000
 2653.4842   1000
 3688.8063   1000
  534.4135   1000
  181.7678   1000
   27.6019   1000
  439.0505   1000
 2611.3019   1000
 2160.7385   1000
   58.6667   1000
  237.9190   1000
 9853.5000   1000
13615.5000   1000
  847.1154   1000
  200.5875   1000
 5042.1154   1000
 2236.7442   1000
 9206.3462   1000
 6965.1538   1000
  139.5746   1000
  361.5627   1000
  204.3600   1000
  535.5628   1000
 1430.1558   1000
11328.5962   1000
11123.7564   1000
 2841.0442   1000
 2490.4583   1000
 4997.5263   1000
 1427.6500   1000
   46.9455   1000
   73.4023   1000
 3029.9108   1000
 6551.7500   1000
  359.0940   1000
 7575.0385   1000
   63.4500   1000
   53.3379   1000
  298.6192   1000
 3717.3731   1000
13260.3654   1000
 1464.4744   1000
 9024.2308   1000
 6116.4231   1000
   42.1866   1000
12446.0192   1000
  385.1814   1000
  291.1443   1000
 1586.5936   1000
 2192.0987   1000
 9191.3205   1000
 9328.9808   1000
 1913.2058   1000
 3985.5308   1000
12725.3718   1000
11036.2692   1000
 8497.7692   1000
 1287.1227   1000
 3515.1006   1000
 5608.5962   1000
  210.0358   1000
 2711.0769   1000
  371.2677   1000
  621.1154   1000
 5719.2500   1000
 9454.3846   1000
 6605.9231   1000
 9647.1392   1000
 7755.2308   1000
  733.7895   1000
  219.4400   1000
  557.8026   1000
  550.2333   1000
   51.0727   1000
10125.1538   1000
 6059.2308   1000
  569.9428   1000
   92.1304   1000
 6058.6923   1000
 2560.9827   1000
15727.0385   1000
   72.8412   1000
20403.6667   1000
