obj_Value    Budget
   30.9165   1000
   51.6894   1000
   29.9742   1000
   33.6823   1000
  160.1733   1000
  232.5649   1000
   40.3169   1000
   28.3433   1000
   36.0163   1000
   25.8451   1000
   25.4600   1000
  111.2243   1000
   55.0149   1000
   47.0860   1000
   60.5807   1000
   77.0813   1000
   34.9348   1000
   35.2655   1000
   34.0623   1000
   33.0212   1000
   48.5133   1000
  242.2580   1000
  176.8140   1000
  239.4104   1000
   30.4252   1000
  254.8746   1000
   62.1214   1000
  200.4212   1000
  169.6178   1000
   50.3435   1000
   49.4023   1000
  231.5894   1000
   24.8584   1000
  252.3904   1000
   61.0355   1000
  252.0285   1000
   33.8597   1000
  156.6168   1000
   74.6418   1000
   26.0936   1000
   53.6102   1000
   75.6188   1000
   29.9241   1000
   34.6149   1000
   25.4476   1000
   31.4829   1000
   63.0082   1000
   41.4716   1000
   29.7810   1000
   36.9273   1000
   55.7824   1000
   43.9051   1000
  224.9702   1000
   35.3821   1000
   38.4097   1000
   37.5657   1000
   29.1796   1000
   78.1387   1000
   32.0726   1000
   72.0349   1000
  238.9937   1000
  234.7084   1000
   32.4771   1000
   39.2659   1000
   25.9847   1000
   32.4960   1000
   40.4730   1000
   49.7547   1000
   36.6656   1000
  243.0988   1000
  254.5663   1000
   31.7693   1000
   34.4209   1000
  247.4345   1000
   74.0183   1000
   39.1282   1000
   94.9765   1000
   51.6658   1000
   44.6504   1000
   32.4495   1000
   70.9421   1000
  249.6799   1000
  229.2337   1000
   73.9650   1000
   41.7553   1000
  108.5565   1000
   34.8584   1000
   45.1928   1000
   28.3811   1000
   29.2325   1000
   71.7631   1000
   31.3863   1000
  272.9206   1000
   43.1699   1000
   76.7768   1000
   44.1834   1000
   26.9086   1000
   38.5107   1000
   56.6412   1000
   25.3376   1000
