obj_Value     Budget
 1079.5734    200
27671.8861    200
 7631.6346    200
17075.9167    200
10343.0000    200
 6273.3205    200
16391.9679    200
14798.9551    200
22015.3846    200
19505.0641    200
14965.5000    200
14090.3910    200
28388.3846    200
16650.9747    200
  117.5004    200
18602.4615    200
19365.9557    200
13748.7244    200
14527.0000    200
 7043.9241    200
 4540.1532    200
14760.6090    200
  563.4000    200
13422.0064    200
13616.5128    200
10394.6154    200
15167.6859    200
 8466.5064    200
19996.3782    200
20758.2885    200
 2884.2122    200
 6603.8481    200
 9654.0570    200
29117.5641    200
27099.0064    200
14686.5256    200
 4313.3160    200
39775.5127    200
 2180.8026    200
16336.9487    200
18531.5321    200
19627.3987    200
24905.1203    200
12022.7500    200
11502.5577    200
18046.1667    200
14066.8734    200
 3748.7372    200
17478.9747    200
 8433.9359    200
14752.5705    200
 5093.9487    200
18065.8077    200
 3721.1532    200
 2254.0936    200
13952.5962    200
16725.4167    200
25195.7436    200
15340.0253    200
18519.8924    200
13555.6474    200
 4307.3122    200
22800.1859    200
 7144.2658    200
 6941.1646    200
 9538.7949    200
16477.2564    200
21253.6923    200
21316.8205    200
18227.0000    200
11435.5577    200
31696.6987    200
35783.1859    200
15073.1218    200
18157.5000    200
24987.0769    200
13573.7244    200
 3747.0987    200
11174.6139    200
18675.1859    200
17491.9156    200
13816.7500    200
31656.7692    200
17075.0127    200
16943.2595    200
14088.3782    200
12389.6218    200
12490.0759    200
 4050.3051    200
14309.7692    200
 3392.5633    200
23400.8397    200
18926.6474    200
12672.7500    200
 5170.4237    200
18953.9551    200
10284.5192    200
114793.4615    200
11987.2911    200
35760.7115    200
