obj_Value     Budget
  802.6954    200
  133.7843    200
  551.1459    200
   66.2324    200
 2714.8770    200
 1522.4849    200
  867.1240    200
  194.3477    200
  264.3379    200
   76.6097    200
  117.9592    200
  676.7148    200
  133.6840    200
  378.8997    200
  436.1045    200
  418.5659    200
  115.2027    200
   64.3359    200
   53.9924    200
  322.2988    200
  952.3119    200
  318.7285    200
 2143.2443    200
 1544.7928    200
   56.0047    200
  647.3274    200
 1823.7064    200
 2400.3398    200
 1355.3340    200
  107.1642    200
   81.3788    200
  594.4021    200
   62.4210    200
  318.5880    200
 1378.9998    200
 4121.0266    200
   51.5338    200
 1126.3484    200
  779.6013    200
   47.4712    200
 1152.0894    200
  804.6369    200
   50.8392    200
   55.4142    200
  406.4561    200
  105.3912    200
  855.5015    200
  695.0828    200
   48.3339    200
   81.9847    200
   69.2197    200
  310.1242    200
  470.0752    200
  422.0267    200
  388.9157    200
  111.6172    200
  108.2179    200
 1883.6627    200
  172.5172    200
 1039.2390    200
 4520.1839    200
  661.6081    200
  214.1550    200
  109.7509    200
  636.1795    200
   97.0705    200
   86.0113    200
  346.0483    200
  180.8073    200
  365.8886    200
  494.5720    200
   48.6812    200
 1345.6542    200
 1905.9574    200
  269.0538    200
  104.0486    200
  119.4350    200
  116.2740    200
  108.9905    200
   44.4258    200
  592.8829    200
 1002.9779    200
 1694.4384    200
  505.5740    200
  870.6123    200
 2199.8792    200
   99.4040    200
  187.9790    200
   89.4927    200
   72.5466    200
  320.3477    200
   46.8854    200
 5204.1513    200
  113.1370    200
  406.0794    200
  271.3895    200
  531.4769    200
  717.9056    200
  700.9450    200
   59.5130    200
