obj_Value    Budget
   28.0527   2000
   40.1221   2000
   24.4967   2000
   27.3780   2000
   64.4772   2000
   67.4109   2000
   27.6204   2000
   25.2621   2000
   27.4682   2000
   24.2952   2000
   24.7128   2000
   62.6808   2000
   27.6941   2000
   39.8939   2000
   52.5489   2000
   63.7614   2000
   27.2130   2000
   25.6850   2000
   27.7394   2000
   24.1993   2000
   44.3958   2000
  226.8430   2000
   57.9416   2000
   63.6814   2000
   26.0925   2000
   60.2859   2000
   54.5810   2000
   68.5697   2000
  143.6226   2000
   26.5707   2000
   34.9760   2000
   74.5933   2000
   23.0331   2000
   75.5505   2000
   38.9118   2000
   81.3219   2000
   29.1339   2000
   66.4657   2000
   62.5182   2000
   24.2896   2000
   31.8928   2000
   54.9605   2000
   24.4462   2000
   26.7956   2000
   24.7650   2000
   29.3516   2000
   51.8482   2000
   28.9110   2000
   26.6126   2000
   26.8278   2000
   43.3774   2000
   28.5037   2000
   66.9055   2000
   32.5979   2000
   31.1380   2000
   27.7754   2000
   26.7939   2000
   55.2600   2000
   25.0234   2000
   55.5852   2000
   59.2865   2000
  220.1803   2000
   30.8537   2000
   32.9098   2000
   24.1635   2000
   26.5172   2000
   33.3919   2000
   31.3126   2000
   28.9506   2000
   66.7909   2000
   68.6511   2000
   31.1559   2000
   28.1428   2000
   68.5379   2000
   63.5501   2000
   34.9292   2000
   36.3496   2000
   27.7299   2000
   38.6200   2000
   30.7497   2000
   63.6206   2000
  223.1670   2000
   72.2841   2000
   50.3696   2000
   31.4806   2000
   60.4106   2000
   27.4478   2000
   39.1071   2000
   24.2250   2000
   25.0911   2000
   61.4131   2000
   26.5677   2000
   93.0105   2000
   37.6630   2000
   67.9633   2000
   27.8384   2000
   25.8025   2000
   27.9273   2000
   39.4559   2000
   24.4949   2000
