obj_Value     Budget
 4418.9006    500
 5049.7441    500
 4363.6473    500
 3608.5629    500
 5020.6999    500
 4279.9962    500
 5556.4607    500
 4019.3641    500
 6029.0534    500
 5255.5531    500
 5833.3687    500
 4195.6966    500
 2459.7241    500
 3008.8776    500
 5168.3762    500
 5565.2677    500
 6129.2542    500
 4766.3823    500
 4692.1144    500
 4296.7835    500
 1885.0021    500
 6305.0956    500
 5105.0064    500
 4947.2350    500
 4574.8880    500
 4300.9087    500
 4835.1569    500
 5222.1519    500
 4488.3884    500
 5453.2204    500
 3725.2720    500
 5182.4443    500
 4809.7974    500
 4164.7300    500
 5403.5105    500
 5529.3151    500
 3461.0264    500
 3155.3916    500
 5156.0943    500
 2402.3401    500
 3817.8624    500
 3629.4763    500
 2841.1761    500
 5773.5443    500
 4579.5933    500
 5595.8663    500
 6024.4504    500
 2461.5275    500
 3111.0776    500
 6127.2539    500
 6006.3611    500
 3190.3238    500
 6671.4210    500
 4395.5632    500
 4108.6520    500
 6436.3567    500
 5453.8272    500
 3342.9804    500
 5260.6559    500
 3830.4258    500
 3276.4366    500
 3738.7763    500
 3883.4864    500
 6229.9334    500
 4118.0059    500
 5343.0429    500
 5156.6476    500
 4525.3449    500
 2280.9456    500
 4047.0647    500
 5396.9060    500
 4484.3509    500
 2393.0500    500
 5442.1019    500
 5983.7947    500
 4499.0230    500
 4404.9088    500
 2809.0882    500
 5027.3371    500
 4631.6740    500
 4874.0482    500
 6499.0642    500
 4197.7611    500
 2653.0540    500
 5612.0707    500
 4359.6254    500
 3557.2060    500
 2712.1848    500
 3197.1850    500
 4420.5998    500
 5421.2619    500
 3490.8007    500
 2868.0581    500
 4634.3088    500
 5410.3619    500
 6867.9625    500
 5127.8041    500
 4230.4206    500
 4907.8184    500
 4526.5533    500
