obj_Value    Budget
   48.7101   5000
   44.8053   5000
   45.9221   5000
   59.9534   5000
   44.4957   5000
   46.3948   5000
   44.5822   5000
   45.5611   5000
   45.1130   5000
   44.3532   5000
   35.5369   5000
   56.9364   5000
   45.6104   5000
   48.5755   5000
   53.5378   5000
   53.4763   5000
   43.9374   5000
   48.2893   5000
   43.6700   5000
   44.2389   5000
   33.4054   5000
   45.7599   5000
   41.9120   5000
   43.6041   5000
   45.9839   5000
   33.6298   5000
   45.0090   5000
   42.8962   5000
   44.0056   5000
   43.0820   5000
   49.6087   5000
   54.9017   5000
   44.2002   5000
   45.2597   5000
   41.4274   5000
   43.2003   5000
   45.2485   5000
   44.3726   5000
   45.3583   5000
   43.6647   5000
   44.0047   5000
   43.5229   5000
   43.2822   5000
   44.6933   5000
   43.5372   5000
   44.8146   5000
   44.5552   5000
   44.7193   5000
   43.9896   5000
   44.1177   5000
   32.5121   5000
   44.8922   5000
   43.8806   5000
   48.5137   5000
   43.1108   5000
   45.1140   5000
   43.7720   5000
   45.8719   5000
   42.5014   5000
   42.7375   5000
   42.7957   5000
   45.1814   5000
   43.5867   5000
   27.2579   5000
   45.0947   5000
   32.6764   5000
   44.6236   5000
   50.9817   5000
   45.5878   5000
   32.4972   5000
   43.2679   5000
   44.0468   5000
   47.4593   5000
   45.4737   5000
   45.4435   5000
   42.4215   5000
   46.3758   5000
   27.3300   5000
   43.6965   5000
   43.7392   5000
   34.3732   5000
   48.0401   5000
   43.0738   5000
   38.6324   5000
   42.8601   5000
   44.4144   5000
   44.0534   5000
   44.3657   5000
   43.8401   5000
   44.6631   5000
   45.8706   5000
   34.2606   5000
   43.4855   5000
   43.9768   5000
   43.5157   5000
   44.9742   5000
   34.3005   5000
   46.3737   5000
   28.1327   5000
   30.6189   5000
